년,월,일,요일,휴일여부,평균기온(°C),최저기온(°C),최고기온(°C),평균 풍속(m/s),평균 상대습도(%),평균 증기압(hPa),합계 일사(MJ/m2),최대전력(MW)
2006,1,1,7,1,1.4,0.6,1.8,1.6,80.1,5.5,1.41,44836
2006,1,2,1,0,0.2,-2.4,3.9,2.8,71.5,4.5,7.19,50203
2006,1,3,2,0,-2.4,-4.5,1.2,2.9,37.5,1.8,9.37,52460
2006,1,4,3,0,-6.2,-8.3,-4.4,2.8,42.6,1.6,4.64,53740
2006,1,5,4,0,-7.1,-10,-2.5,2.5,39.6,1.3,9.6,54212
2006,1,6,5,0,-7.5,-10.1,-3.9,2.8,44.1,1.4,9.1,54020
2006,1,7,6,1,-6.2,-9.6,-1.8,2.3,38.6,1.4,9.91,51620
2006,1,8,7,1,-4.2,-8.5,0.4,1.4,44.5,1.8,8.85,49286
2006,1,9,1,0,-1.6,-7,3,1.7,57.5,3.1,7.72,53277
2006,1,10,2,0,-0.3,-2.2,2.4,2,72.5,4.3,6.68,52715
2006,1,11,3,0,-1.2,-5.3,3.5,1.5,45.8,2.4,7.97,52545
2006,1,12,4,0,1.4,-2.4,4.5,3.2,48.9,3.3,4.17,52493
2006,1,13,5,0,4.1,1.8,6,2.5,93.3,7.8,0.62,51549
2006,1,14,6,1,4.4,1.7,9.3,1.6,72.3,6,7.44,48242
2006,1,15,7,1,3.7,0.8,7.5,2,70.1,5.7,6.3,46009
2006,1,16,1,0,1.8,-0.2,3.9,1.5,68.1,4.8,2.56,51947
2006,1,17,2,0,1.3,-1.2,4.8,1.7,50.5,3.4,5.9,51457
2006,1,18,3,0,1.3,-1.7,5.5,1.7,54.9,3.7,7.9,51500
2006,1,19,4,0,2.4,-1.6,6.9,2.2,55.9,4,8.83,51473
2006,1,20,5,0,2.6,0.2,6.5,2.1,55.5,4.1,7.32,51127
2006,1,21,6,1,0.9,-2.2,5.1,2,49,3.1,9.49,49124
2006,1,22,7,1,-3.1,-6,-0.6,3.4,39,1.8,11.43,47348
2006,1,23,1,0,-4.7,-8,-0.4,2.6,45.4,1.9,11.61,52671
2006,1,24,2,0,-3.1,-7.6,1.7,1.9,42.5,1.9,11.44,52999
2006,1,25,3,0,-0.7,-4.5,3.2,1.7,47.4,2.7,7.51,52593
2006,1,26,4,0,0.2,-2.5,3.9,2.1,62.3,3.8,9.3,51551
2006,1,27,5,0,1.4,-1.1,5.5,2.6,61.8,4.1,9.09,49129
2006,1,28,6,1,1.3,-3,6,1.6,53.9,3.6,8.09,44859
2006,1,29,7,1,4.5,-0.4,8.1,1.8,58.1,5,5.31,39237
2006,1,30,1,1,5,2.9,8.1,1.7,65.3,5.7,7.41,40115
2006,1,31,2,0,3.8,1.1,6.3,1.9,80.9,6.6,3.43,44351
2006,2,1,3,0,1.7,-2.5,5.4,2.9,59.5,4.2,8.55,50046
2006,2,2,4,0,-2.9,-8.6,1,3.5,45.5,2.3,11.42,51455
2006,2,3,5,0,-11.7,-14.1,-8.6,3.6,38.9,0.9,12.97,53262
2006,2,4,6,1,-9.3,-13.1,-4.6,2.9,37.9,1,13.36,51099
2006,2,5,7,1,-5.3,-10.3,-1.6,1.7,35.6,1.4,9.69,48937
2006,2,6,1,0,0.2,-3.9,4.9,1.9,28.9,1.8,10.99,52703
2006,2,7,2,0,-0.9,-4.8,1.2,3.1,80.5,4.6,1.99,52584
2006,2,8,3,0,-7.2,-9.3,-3.9,4,53.3,1.7,12.73,53397
2006,2,9,4,0,-4.5,-10.3,-1.2,2.6,65.6,2.9,10.36,53139
2006,2,10,5,0,1.4,-1.7,4,3.1,65,4.4,7.14,52370
2006,2,11,6,1,1.2,-2.7,5.1,2.6,54,3.7,11.23,49660
2006,2,12,7,1,-1.8,-5.9,2.5,2.3,42.9,2.2,14.56,47074
2006,2,13,1,0,4.5,-2,10.6,2.2,48.4,4.1,11.71,51141
2006,2,14,2,0,5.5,4.4,7.5,2.3,92.9,8.6,0.87,50606
2006,2,15,3,0,4.6,2.9,6.5,1.7,77.5,6.6,3.72,50727
2006,2,16,4,0,1.7,-5.1,6.9,3.1,51.3,3.7,11.07,51768
2006,2,17,5,0,-4.5,-8.1,-1.3,3.5,37.1,1.6,15.29,52206
2006,2,18,6,1,0.2,-5.3,5.3,2.3,54.9,3.3,12.77,50148
2006,2,19,7,1,3.3,-1,8,1.7,61.4,4.7,10.63,46695
2006,2,20,1,0,3.8,-0.1,9.1,1.5,66.3,5.3,12.72,50471
2006,2,21,2,0,4.4,-0.5,8.6,1.9,65.3,5.4,11.43,50252
2006,2,22,3,0,3,-1.5,7.3,3,57.1,4.4,11.41,51047
2006,2,23,4,0,1.1,-3.4,6.1,2.4,40.6,2.6,15.03,50854
2006,2,24,5,0,4.6,-1.7,11.5,1.6,33.1,2.6,15.38,50030
2006,2,25,6,1,7,2.7,10.8,2,33,3.3,9.65,46810
2006,2,26,7,1,0.5,-3.5,7.5,3.8,52.3,3.5,11.66,45237
2006,2,27,1,0,-0.5,-4.6,4.4,2.6,32.4,1.9,14.19,50942
2006,2,28,2,0,2.8,0.5,4.8,1.7,63.3,4.9,4.4,50352
2006,3,1,3,1,0,-2.4,2.5,3.3,71.8,4.4,12.55,48158
2006,3,2,4,0,-0.9,-2.9,2,3.4,58.3,3.2,11.53,51460
2006,3,3,5,0,0.5,-3.2,5.1,2.5,50.3,3.1,17.04,51123
2006,3,4,6,1,3.6,-2.2,10,2.7,56.5,4.3,13.25,47550
2006,3,5,7,1,7.9,4.5,12.6,2.9,70.9,7.6,12.1,44419
2006,3,6,1,0,5.9,0.6,12.1,2.1,62.8,5.5,15.45,49665
2006,3,7,2,0,5.7,1.2,11.1,2.7,55.5,4.8,13.67,49436
2006,3,8,3,0,5.7,0.5,10.3,2,55,4.7,14.46,49450
2006,3,9,4,0,10.7,6.8,15.6,2,36.5,4.7,10.64,49217
2006,3,10,5,0,9.9,7,14.6,3.4,68.8,8.4,10.75,48410
2006,3,11,6,1,6.2,0.8,9.8,3.1,60.8,6,6.9,46056
