기준일시,공급능력(MW),현재수요(MW),최대예측수요(MW),공급예비력(MW),공급예비율(%),운영예비력(MW),운영예비율(%)
20150401000000,85392.0,57834.15,65500.0,27557.85,47.64978,26529.85,45.87228
20150401000500,85392.0,57449.4,64500.0,27942.6,48.63863,26914.6,46.84923
20150401001000,85392.0,56803.37,64500.0,28588.63,50.32911,27560.63,48.51936
20150401001500,85392.0,56088.02,64500.0,29303.98,52.24641,28275.98,50.41357
20150401002000,85392.0,55888.47,64500.0,29503.53,52.79,28475.53,50.95063
20150401002500,85392.0,56050.48,64500.0,29341.52,52.34838,28313.52,50.51432
20150401003000,85392.0,55850.06,64500.0,29541.94,52.8951,28513.94,51.05445
20150401003500,85392.0,55850.09,64500.0,29541.91,52.895,28513.91,51.05436
20150401004000,85392.0,55637.69,64500.0,29754.31,53.47869,28726.31,51.63102
20150401004500,85392.0,55610.38,64500.0,29781.62,53.55406,28753.62,51.70548
20150401005000,85392.0,55126.82,64500.0,30265.17,54.90099,29237.17,53.0362
20150401005500,85392.0,54479.43,64500.0,30912.57,56.74173,29884.57,54.85478
20150401010000,85392.0,53975.66,64500.0,31416.34,58.20465,30388.34,56.30008
20150401010500,85392.0,53898.22,64500.0,31493.78,58.43194,30465.78,56.52465
20150401011000,85392.0,53327.34,64500.0,32064.66,60.12801,31036.66,58.20029
20150401011500,85392.0,53561.72,64500.0,31830.28,59.4273,30802.28,57.50802
20150401012000,85392.0,53503.89,64500.0,31888.11,59.59961,30860.11,57.67826
20150401012500,85392.0,53517.17,64500.0,31874.83,59.56,30846.83,57.63912
20150401013000,85392.0,53314.8,64500.0,32077.2,60.16566,31049.2,58.2375
20150401013500,85392.0,53542.92,64500.0,31849.08,59.48328,30821.08,57.56332
20150401014000,85392.0,53280.81,64500.0,32111.19,60.26784,31083.19,58.33844
20150401014500,85392.0,53205.27,64500.0,32186.73,60.49537,31158.73,58.56323
20150401015000,85392.0,53403.2,64500.0,31988.8,59.90053,30960.8,57.97555
20150401015500,85392.0,53212.18,64500.0,32179.82,60.47455,31151.82,58.54266
20150401020000,85392.0,53382.0,64500.0,32010.0,59.96404,30982.0,58.03829
20150401020500,85392.0,53115.06,64500.0,32276.94,60.76796,31248.94,58.83254
20150401021000,85392.0,53405.48,64500.0,31986.52,59.89371,30958.52,57.96881
20150401021500,85091.0,53344.86,64500.0,31746.14,59.51116,30876.14,57.88026
20150401022000,85091.0,53593.24,64500.0,31497.76,58.7719,30627.76,57.14856
20150401022500,85091.0,53431.39,64500.0,31659.61,59.25282,30789.61,57.62456
20150401023000,85091.0,53260.21,64500.0,31830.79,59.76467,30960.79,58.13118
20150401023500,85091.0,53344.21,64500.0,31746.79,59.5131,30876.79,57.88218
20150401024000,85091.0,53135.87,64500.0,31955.13,60.13853,31085.13,58.50122
20150401024500,85091.0,53011.93,64500.0,32079.07,60.51292,31209.07,58.87178
20150401025000,85091.0,53157.0,64500.0,31934.0,60.07486,31064.0,58.4382
20150401025500,85091.0,52999.24,64500.0,32091.76,60.55136,31221.76,58.90983
20150401030000,85091.0,52759.66,64500.0,32331.34,61.28043,31461.34,59.63144
20150401030500,85091.0,52958.7,64500.0,32132.3,60.67427,31262.3,59.03148
20150401031000,85091.0,52658.38,64500.0,32432.63,61.59063,31562.63,59.93847
20150401031500,85091.0,52901.55,64500.0,32189.45,60.84785,31319.45,59.20329
20150401032000,85091.0,53190.12,64500.0,31900.88,59.9752,31030.88,58.33956
20150401032500,85091.0,52999.99,64500.0,32091.01,60.54908,31221.01,58.90757
20150401033000,85091.0,53406.74,64500.0,31684.26,59.32632,30814.26,57.69732
20150401033500,85091.0,53522.17,64500.0,31568.83,58.98272,30698.83,57.35722
20150401034500,85091.0,53591.98,64500.0,31499.02,58.77561,30629.02,57.15223
20150401035000,85091.0,53558.98,64500.0,31532.01,58.87344,30662.01,57.24906
20150401035500,85091.0,53517.18,64500.0,31573.82,58.99755,30703.82,57.37191
20150401040000,85091.0,53539.62,64500.0,31551.38,58.93092,30681.38,57.30595
20150401040500,85091.0,53945.16,64500.0,31145.84,57.73611,30275.84,56.12337
20150401041000,85091.0,53762.45,64500.0,31328.55,58.27219,30458.55,56.65396
20150401041500,85091.0,53765.52,64500.0,31325.48,58.26314,30455.48,56.645
20150401042000,85091.0,53983.42,64500.0,31107.58,57.62432,30237.58,56.01271
20150401042500,85091.0,54293.59,64500.0,30797.41,56.72384,29927.41,55.12144
20150401043000,85091.0,53865.36,64500.0,31225.64,57.96981,30355.64,56.35468
20150401043500,85091.0,54037.41,64500.0,31053.59,57.46684,30183.59,55.85685
20150401044000,85091.0,53715.52,64500.0,31375.47,58.41044,30505.47,56.7908
20150401044500,85091.0,53608.64,64500.0,31482.36,58.72629,30612.36,57.10342
20150401045000,85091.0,53373.65,64500.0,31717.35,59.42511,30847.35,57.79509
20150401045500,85091.0,53204.32,64500.0,31886.69,59.93251,31016.69,58.29731
20150401050000,85091.0,53467.29,64500.0,31623.71,59.1459,30753.71,57.51874
20150401050500,85091.0,53576.75,64500.0,31514.25,58.82076,30644.25,57.19691
20150401051000,85091.0,53735.96,64500.0,31355.04,58.35021,30485.04,56.73119
20150401051500,85091.0,53911.55,64500.0,31179.45,57.83445,30309.45,56.22069
20150401052000,85091.0,54205.94,64500.0,30885.06,56.97726,30015.06,55.37227
20150401052500,85206.0,54323.43,64500.0,30882.56,56.84943,30012.56,55.24791
20150401053000,85206.0,54477.88,64500.0,30728.12,56.40477,29858.12,54.80779
20150401053500,85206.0,54682.29,64500.0,30523.71,55.82011,29653.71,54.2291
20150401054000,85206.0,55020.89,64500.0,30185.11,54.86119,29315.11,53.27997
20150401054500,85206.0,55212.45,64500.0,29993.55,54.32389,29123.55,52.74816
20150401055000,85206.0,55256.44,64500.0,29949.56,54.20104,29079.56,52.62656
20150401055500,85206.0,55419.01,64500.0,29786.99,53.74868,28916.99,52.17882
20150401060000,85206.0,55390.31,64500.0,29815.69,53.82834,28945.69,52.25767
20150401060500,85206.0,55521.21,64500.0,29684.78,53.46566,28814.78,51.89869
20150401061000,85206.0,56020.55,64500.0,29185.45,52.09775,28315.45,50.54475
20150401061500,85206.0,56308.17,64500.0,28897.83,51.32085,28027.83,49.77578
20150401062000,85206.0,56279.27,64500.0,28926.73,51.39855,28056.73,49.85269
20150401062500,85206.0,56231.18,64500.0,28974.83,51.52805,28104.83,49.98086
20150401063000,85206.0,56575.29,64500.0,28630.71,50.60638,27760.71,49.06861
20150401063500,85206.0,56960.77,64500.0,28245.23,49.58717,27375.23,48.0598
20150401064000,85206.0,57124.5,64500.0,28081.5,49.15842,27211.5,47.63543
20150401064500,85206.0,57317.92,64500.0,27888.08,48.65509,27018.08,47.13724
20150401065000,85206.0,57410.42,64500.0,27795.58,48.41557,26925.58,46.90017
20150401065500,85206.0,57658.0,64500.0,27548.0,47.77829,26678.0,46.26939
20150401070000,85206.0,58169.22,64500.0,27036.78,46.47953,26166.78,44.98389
20150401070500,85206.0,58408.63,64500.0,26797.37,45.87912,25927.37,44.38962
20150401071000,85206.0,58737.32,64500.0,26468.68,45.0628,25598.68,43.58163
20150401071500,85206.0,59074.93,64500.0,26131.07,44.23376,25261.07,42.76106
20150401072000,85206.0,59306.04,64500.0,25899.96,43.67171,25029.96,42.20474
20150401072500,85206.0,59635.59,64500.0,25570.41,42.87777,24700.41,41.41891
20150401073000,85206.0,59907.85,64500.0,25298.15,42.22844,24428.15,40.77621
20150401073500,85206.0,59917.37,64500.0,25288.63,42.20585,24418.63,40.75385
