기준일시,공급능력(MW),현재수요(MW),최대예측수요(MW),공급예비력(MW),공급예비율(%),운영예비력(MW),운영예비율(%)
20160101000000,90899,61123,70800,29776,49,26439,43
20160101010000,90899,58136,59700,32763,56,29426,51
20160101020000,90899,55997,59700,34902,62,31565,56
20160101030000,89869,54106,59700,35763,66,27981,52
20160101040000,89866,53685,59700,36182,67,28558,53
20160101050000,89029,53874,59700,35155,65,27531,51
20160101060000,89029,54476,59700,34553,63,26929,49
20160101070000,89029,54090,59700,34939,65,27315,50
20160101080000,88529,53296,59700,35233,66,27609,52
20160101090000,88729,52263,59700,36466,70,28842,55
20160101100000,88729,52612,59700,36117,69,28493,54
20160101110000,88729,51939,59700,36790,71,29166,56
20160101120000,88729,51362,59700,37367,73,29743,58
20160101130000,88729,51745,59700,36984,71,29360,57
20160101140000,88729,51421,59700,37308,73,29684,58
20160101150000,88729,51101,59700,37628,74,29453,58
20160101160000,88729,51259,59700,37471,73,29296,57
20160101170000,88855,52494,59700,36361,69,28186,54
20160101180000,88855,55356,59700,33499,61,25324,46
20160101190000,89961,55314,59700,34647,63,26472,48
20160101200000,89961,55422,59700,34539,62,26364,48
20160101210000,89961,55204,59700,34758,63,26583,48
20160101220000,89961,56412,59700,33549,59,25374,45
20160101230000,89961,57727,59700,32234,56,24059,42
20160102000000,89961,56560,59700,33401,59,25226,45
20160102010000,89994,53598,59500,36396,68,28234,53
20160102020000,89994,52784,59500,37210,70,29048,55
20160102030000,89994,51910,59500,38084,73,29922,58
20160102040000,89994,51727,59500,38267,74,30105,58
20160102050000,89863,51976,59500,37887,73,30079,58
20160102060000,89863,52542,59500,37321,71,29513,56
20160102070000,89863,52638,59500,37225,71,29417,56
20160102080000,89863,52936,59500,36927,70,29119,55
20160102090000,89863,53225,59500,36638,69,28830,54
20160102100000,89863,53921,59500,35942,67,28134,52
20160102110000,89863,54145,59500,35718,66,27910,52
20160102120000,89863,53043,59500,36820,69,29012,55
20160102130000,89863,52611,59500,37252,71,29444,56
20160102140000,89863,52628,59500,37236,71,29428,56
20160102150000,89863,52391,59500,37472,72,29664,57
20160102160000,89863,52922,59000,36941,70,29133,55
20160102170000,89863,53333,59000,36530,68,28874,54
20160102180000,89863,56235,59000,33628,60,25972,46
20160102190000,89863,56378,59000,33485,59,25829,46
20160102200000,89863,56060,59000,33803,60,26147,47
20160102210000,89863,55520,59000,34343,62,26687,48
20160102220000,89863,56471,59000,33392,59,25736,46
20160102230000,89863,57572,59000,32291,56,24635,43
20160103000000,89863,57507,59000,32356,56,24700,43
20160103010000,89863,54123,58900,35740,66,28084,52
20160103020000,89863,52521,58900,37342,71,29686,57
20160103030000,89473,52256,58900,37218,71,30592,59
20160103040000,89473,52555,58900,36918,70,30292,58
20160103050000,89473,52920,58900,36553,69,29927,57
20160103060000,89473,52844,58900,36629,69,30003,57
20160103070000,89473,52662,58900,36811,70,30185,57
20160103080000,89473,52207,58900,37266,71,31123,60
20160103090000,89473,52474,58900,36999,71,30856,59
20160103100000,89473,52650,58900,36823,70,30680,58
20160103110000,89473,52762,58900,36711,70,30568,58
20160103120000,89473,51889,58900,37584,72,31441,61
20160103130000,89473,52170,58900,37303,72,31160,60
20160103140000,89473,52936,58900,36537,69,30394,57
20160103150000,89473,53206,58900,36268,68,30125,57
20160103160000,89473,53210,58900,36263,68,30120,57
20160103170000,89473,54059,58900,35414,66,29271,54
20160103180000,89473,57206,58900,32267,56,26124,46
